REALM;USERNAME;PASSWORD;SERVICES
_default;admin;Admin1Admin1;DEFAULT
_default_linux;root;Admin1Admin1;DEFAULT
_default_vCenter;User1;Vintage.grumbling!2269;rdp://10.80.52.117
_default_vCenter;User2;Tinker.matador!0053;rdp://10.80.52.117
_default_vCenter;User3;Unblended.jelly!4874;rdp://10.80.52.117
_default_vCenter;User4;Require.capped!8995;rdp://10.80.52.117
_default_vCenter;User5;Daffodil.deputy!0830;rdp://10.80.52.117
_default_vyos;vyos;Admin1Admin1;DEFAULT
_default_windows;administrator;Admin1Admin1;DEFAULT
arkime.17.berylia.org;admin;Admin1Admin1;https://arkime.17.berylia.org
av.baf.17.berylia.org;admin;Admin1Admin1;https://av.baf.17.berylia.org/login
av.baf.17.berylia.org;Amanda.Neva;Tree.Mind.3;https://av.baf.17.berylia.org/login
av.baf.17.berylia.org;Carlos.Suarez;Weak.Plan.8;https://av.baf.17.berylia.org/login
av.baf.17.berylia.org;Craig.Freeman;Four.Tail.2;https://av.baf.17.berylia.org/login
av.baf.17.berylia.org;Daniel.Wiitala;Know.Safe.7;https://av.baf.17.berylia.org/login
av.baf.17.berylia.org;Ferdinand.White;My.Big.Car.9;https://av.baf.17.berylia.org/login
av.baf.17.berylia.org;Geraldine.Leroux;Mile.Pole.8;https://av.baf.17.berylia.org/login
av.baf.17.berylia.org;Josua.Tutar;Strong.Cat.5;https://av.baf.17.berylia.org/login
av.baf.17.berylia.org;Leo.Lampo;Join.Call.0;https://av.baf.17.berylia.org/login
av.baf.17.berylia.org;Marcello.Robert;Grow.Lady.0;https://av.baf.17.berylia.org/login
av.baf.17.berylia.org;Martin.Castro;Hang.Held.6;https://av.baf.17.berylia.org/login
av.baf.17.berylia.org;Minttu.Manni;Cold.Dear.8;https://av.baf.17.berylia.org/login
av.baf.17.berylia.org;Mireille.David;Rush.Tiny.9;https://av.baf.17.berylia.org/login
av.baf.17.berylia.org;Rebecca.Burito;Dont.Like.0;https://av.baf.17.berylia.org/login
av.baf.17.berylia.org;Wayne.Arnaud;Dry.Table.9;https://av.baf.17.berylia.org/login
av.baf.17.berylia.org;Wolfgang.Pierre;Fear.Much.6;https://av.baf.17.berylia.org/login
bg-gsc.baf.17.berylia.org;gsc;Supern0va;ssh://bg-gsc.int.baf.17.berylia.org
blog.jiv.17.berylia.org;admin;Admin1Admin1;https://blog.jiv.17.berylia.org/login
blog.jiv.17.berylia.org;Alba.Vicente;Very.Bean.4;https://blog.jiv.17.berylia.org/login
blog.jiv.17.berylia.org;Alex.Duran;Safe.Wore.8;https://blog.jiv.17.berylia.org/login
blog.jiv.17.berylia.org;Anna.Polansky;Thief.Soil.7;https://blog.jiv.17.berylia.org/login
blog.jiv.17.berylia.org;Barbara.Petrovsky;Pass.Card.8;https://blog.jiv.17.berylia.org/login
blog.jiv.17.berylia.org;Bettina.Blanc;Roll.Sing.9;https://blog.jiv.17.berylia.org/login
blog.jiv.17.berylia.org;Celia.Santos;From.What.7;https://blog.jiv.17.berylia.org/login
blog.jiv.17.berylia.org;Dora.Dumas;Moon.Rain.8;https://blog.jiv.17.berylia.org/login
blog.jiv.17.berylia.org;Gerard.Maulin;Chilli.Dog.5;https://blog.jiv.17.berylia.org/login
blog.jiv.17.berylia.org;Liselotte.Barbier;Gain.Ears.0;https://blog.jiv.17.berylia.org/login
blog.jiv.17.berylia.org;Orlando.Borland;Cpp.Is.Ok.7;https://blog.jiv.17.berylia.org/login
blog.jiv.17.berylia.org;Samuel.Cole;Cool.Drink.6;https://blog.jiv.17.berylia.org/login
blog.jiv.17.berylia.org;Samuel.Lammi;Next.Fire.2;https://blog.jiv.17.berylia.org/login
blog.jiv.17.berylia.org;Samuel.Sanz;Mark.Inch.1;https://blog.jiv.17.berylia.org/login
blog.jiv.17.berylia.org;Vaino.Aho;Have.Were.2;https://blog.jiv.17.berylia.org/login
blog.jiv.17.berylia.org;Valtteri.Halonen;Hope.Moon.2;https://blog.jiv.17.berylia.org/login
bob.17.berylia.org;angela.ferrer;Wait.Such.8;rdp://ws[1-5]-m36517.bt.berylia.org ...
bob.17.berylia.org;benjamin.rousseau;Time.Tall.7;rdp://ws[1-5]-m36517.bt.berylia.org ...
bob.17.berylia.org;BTAdminReadOnly@bob.17.berylia.org;Dq*vRUdzf&Y@zJ4vG@qENf;https://portal.azure.com/
bob.17.berylia.org;carlo.lopez;Good.Need.6;rdp://ws[1-5]-m36517.bt.berylia.org ...
bob.17.berylia.org;cesar.romero;High.Race.9;rdp://ws[1-5]-m36517.bt.berylia.org ...
bob.17.berylia.org;clara.green;Sing.Dead.3;rdp://ws[1-5]-m36517.bt.berylia.org ...
bob.17.berylia.org;elijah.warren;Wash.Park.9;rdp://ws[1-5]-m36517.bt.berylia.org ...
bob.17.berylia.org;enrique.roberts;Halt.Bank.6;rdp://ws[1-5]-m36517.bt.berylia.org ...
bob.17.berylia.org;francisca.parra;Swim.Dear.5;rdp://ws[1-5]-m36517.bt.berylia.org ...
bob.17.berylia.org;ida.freeman;Hers.Fiji.4;rdp://ws[1-5]-m36517.bt.berylia.org ...
bob.17.berylia.org;julia.johnston;Find.Seat.8;rdp://ws[1-5]-m36517.bt.berylia.org ...
bob.17.berylia.org;madeleine.gautier;Hope.Hope.0;rdp://ws[1-5]-m36517.bt.berylia.org ...
bob.17.berylia.org;madison.pena;Such.Hour.1;rdp://ws[1-5]-m36517.bt.berylia.org ...
bob.17.berylia.org;misty.nichols;Bone.Foot.2;rdp://ws[1-5]-m36517.bt.berylia.org ...
bob.17.berylia.org;montserrat.nunez;Your.Come.2;rdp://ws[1-5]-m36517.bt.berylia.org ...
bob.17.berylia.org;oona.aho;Rain.Lake.9;rdp://ws[1-5]-m36517.bt.berylia.org ...
bob.17.berylia.org;raquel.martinez;Very.Full.4;rdp://ws[1-5]-m36517.bt.berylia.org ...
